agricultural sciences,engineering and technology,humanities,medical and health sciences,natural sciences,social sciences,ecMaxContribution,fundingScheme,duration,month,country,activityType,contributors,proportion_cost,split
0.0,0.0,0.0,0.0,2.0,0.0,1496205.0,HORIZON-ERC,1825,2,ES,REC,1,1.0,test
0.0,0.0,2.0,1.0,2.0,0.0,1499150.0,HORIZON-ERC,1826,9,ES,HES,3,1.0,train
1.0,0.0,0.0,0.0,2.0,0.0,1482050.0,HORIZON-ERC,1825,1,PL,HES,1,1.0,train
0.0,0.0,0.0,0.0,2.0,1.0,1495000.0,HORIZON-AG,1825,4,DE,REC,1,1.0,test
0.0,0.0,0.0,0.0,1.0,0.0,1458688.0,HORIZON-ERC,1826,3,DE,HES,1,1.0,train
0.0,1.0,0.0,0.0,4.0,0.0,1999348.75,HORIZON-ERC,1825,1,FR,REC,1,1.0,train
0.0,2.0,0.0,0.0,2.0,1.0,1496023.0,HORIZON-ERC,1825,6,FI,HES,1,1.0,train
0.0,0.0,0.0,0.0,1.0,0.0,1499860.0,HORIZON-ERC,1825,1,DE,HES,1,1.0,train
0.0,1.0,0.0,0.0,1.0,0.0,1500000.0,HORIZON-ERC,1825,10,IL,HES,1,1.0,test
0.0,0.0,0.0,1.0,2.0,0.0,1500000.0,HORIZON-AG,1825,3,IL,HES,1,1.0,train
0.0,0.0,0.0,0.0,3.0,1.0,1499938.0,ERC,1825,1,NL,HES,2,1.0,train
0.0,1.0,0.0,1.0,0.0,0.0,1500000.0,HORIZON-ERC,1825,1,NO,HES,2,1.0,train
,,,,,,1498846.0,HORIZON-ERC,1825,11,ES,REC,1,1.0,train
0.0,0.0,0.0,0.0,3.0,0.0,1500000.0,HORIZON-ERC,1825,7,ES,REC,1,1.0,train
0.0,3.0,0.0,0.0,2.0,0.0,1499750.0,HORIZON-AG,1825,10,IT,HES,1,1.0,test
0.0,0.0,0.0,0.0,1.0,0.0,1499718.0,ERC,1825,9,IT,HES,1,1.0,test
0.0,0.0,0.0,0.0,2.0,0.0,1385743.0,ERC,1825,9,IT,HES,1,1.0,train
,,,,,,517828.75,HORIZON-CSA,729,4,NL,HES,3,1.0,train
0.0,1.0,0.0,0.0,0.0,2.0,1500000.0,HORIZON-AG,1825,1,SE,HES,1,1.0,train
0.0,0.0,0.0,1.0,2.0,1.0,1290180.0,HORIZON-ERC,1825,9,FR,HES,1,1.0,test
0.0,0.0,0.0,0.0,0.0,2.0,1105303.0,HORIZON-ERC,1825,9,FR,HES,1,1.0,train
0.0,0.0,0.0,1.0,1.0,0.0,1499993.0,HORIZON-AG,1825,10,ES,REC,1,1.0,train
0.0,1.0,0.0,3.0,1.0,0.0,1499950.0,HORIZON-ERC,1826,3,PT,HES,2,1.0,train
0.0,0.0,4.0,0.0,0.0,0.0,1498938.0,HORIZON-ERC,1825,10,IL,HES,1,1.0,train
0.0,0.0,1.0,0.0,3.0,0.0,1560742.0,HORIZON-AG,1825,9,FR,REC,1,1.0,train
0.0,1.0,0.0,0.0,0.0,0.0,1500000.0,HORIZON-ERC,1825,9,TR,HES,1,1.0,train
0.0,0.0,0.0,0.0,1.0,3.0,1499984.0,HORIZON-ERC,1825,2,NL,HES,1,1.0,train
,,,,,,1420375.0,HORIZON-ERC,1825,4,CZ,HES,1,1.0,test
0.0,0.0,0.0,2.0,2.0,0.0,1493875.0,HORIZON-AG,1825,4,AT,HES,1,1.0,train
0.0,0.0,0.0,0.0,2.0,0.0,1835895.0,HORIZON-ERC,1825,1,CZ,HES,1,1.0,train
0.0,0.0,0.0,0.0,5.0,0.0,1499766.0,HORIZON-ERC,1825,9,ES,REC,2,1.0,train
0.0,0.0,0.0,3.0,0.0,0.0,1497351.0,HORIZON-AG,1825,9,ES,HES,1,1.0,test
0.0,0.0,0.0,1.0,3.0,0.0,1851328.0,HORIZON-ERC,1825,6,NL,HES,1,1.0,train
0.0,0.0,0.0,0.0,1.0,0.0,1497378.0,HORIZON-ERC,1825,9,FR,REC,1,1.0,test
0.0,1.0,0.0,0.0,2.0,0.0,1499365.0,HORIZON-AG,1825,10,FR,REC,1,1.0,train
0.0,0.0,0.0,0.0,1.0,0.0,1499705.0,HORIZON-ERC,1825,7,SE,HES,2,1.0,test
0.0,0.0,1.0,0.0,2.0,0.0,1500000.0,HORIZON-ERC,1825,1,NO,HES,1,1.0,train
0.0,0.0,0.0,0.0,2.0,0.0,1813373.75,HORIZON-ERC,1825,9,DE,HES,1,1.0,train
1.0,1.0,0.0,0.0,2.0,1.0,1495428.0,HORIZON-ERC,1825,10,FR,REC,3,1.0,train
0.0,1.0,2.0,0.0,0.0,0.0,1499876.0,HORIZON-ERC,1825,9,DK,HES,1,0.9999998333195822,train
0.0,0.0,0.0,0.0,2.0,0.0,1500000.0,HORIZON-ERC,1825,4,DE,REC,1,1.0,train
0.0,1.0,0.0,0.0,1.0,0.0,1500000.0,HORIZON-AG,1825,1,NL,HES,1,1.0,test
0.0,0.0,0.0,0.0,0.0,1.0,1499775.0,HORIZON-ERC,1825,1,ES,REC,1,1.0,train
0.0,0.0,1.0,0.0,0.0,0.0,1499130.0,HORIZON-ERC,1825,11,DE,REC,1,1.0,train
0.0,0.0,0.0,0.0,1.0,0.0,1500000.0,HORIZON-AG,1825,6,IL,HES,1,1.0,train
0.0,0.0,0.0,1.0,0.0,0.0,1499514.0,HORIZON-ERC,1825,7,DE,HES,1,1.0,train
0.0,1.0,0.0,0.0,2.0,0.0,1500000.0,HORIZON-ERC,1825,9,NL,HES,1,1.0,test
0.0,0.0,0.0,0.0,0.0,3.0,1226000.0,HORIZON-AG,1825,9,ES,HES,1,1.0,test
0.0,0.0,0.0,0.0,2.0,0.0,1437941.0,HORIZON-ERC,1825,5,DE,REC,1,1.0,train
0.0,0.0,0.0,0.0,0.0,2.0,1495125.0,HORIZON-ERC,1825,9,NL,HES,1,1.0,train
0.0,1.0,0.0,2.0,1.0,0.0,1495100.0,HORIZON-AG,1825,1,IT,HES,1,1.0,test
0.0,2.0,0.0,0.0,2.0,0.0,1315000.0,HORIZON-ERC,1825,9,DK,HES,2,1.0,train
0.0,0.0,0.0,4.0,0.0,0.0,1499485.0,HORIZON-ERC,1825,6,DE,HES,1,1.0,train
0.0,0.0,0.0,0.0,3.0,0.0,1976126.0,HORIZON-ERC,1825,9,FI,HES,1,1.0,train
0.0,0.0,0.0,0.0,3.0,0.0,1499950.0,HORIZON-ERC,1826,5,BE,HES,1,1.0,train
,,,,,,1499790.0,HORIZON-ERC,1825,1,AT,HES,1,1.0,train
,,,,,,1499455.0,HORIZON-ERC,1825,7,DE,HES,1,1.0,train
0.0,0.0,0.0,4.0,0.0,0.0,1500000.0,HORIZON-AG,1825,12,FR,REC,2,1.0,train
1.0,1.0,0.0,1.0,0.0,0.0,1370996.0,HORIZON-ERC,1825,6,PT,HES,1,1.0,train
0.0,0.0,0.0,2.0,1.0,0.0,1500000.0,HORIZON-ERC,1825,10,FR,REC,1,1.0,test
0.0,0.0,0.0,0.0,3.0,0.0,1500000.0,HORIZON-ERC,2191,4,FR,REC,1,1.0,train
