,projectID,agricultural sciences,engineering and technology,humanities,medical and health sciences,natural sciences,social sciences,startDate,endDate,totalCost,ecMaxContribution,fundingScheme,duration,month,country,role,activityType,city,proportion_cost,mask,logCost
0,101039048,0.0,0.0,0.0,0.0,2.0,0.0,2022-02-01,2027-01-31,1496205.0,1496205.0,HORIZON-ERC,1825,2,ES,coordinator,REC,Donostia San Sebastian,1.0,False,20.51287642651593
1,101039060,0.0,0.0,2.0,1.0,2.0,0.0,2023-09-01,2028-08-31,1499150.0,1499150.0,HORIZON-ERC,1826,9,ES,coordinator,HES,Leioa,1.0,False,20.515713311135247
2,101039066,1.0,0.0,0.0,0.0,2.0,0.0,2023-01-01,2027-12-31,1482050.0,1482050.0,HORIZON-ERC,1825,1,PL,coordinator,HES,Poznan,1.0,False,20.499162690068612
3,101039090,0.0,0.0,0.0,0.0,2.0,1.0,2022-04-01,2027-03-31,1495000.0,1495000.0,HORIZON-AG,1825,4,DE,coordinator,REC,Munchen,1.0,False,20.511714053747554
4,101039098,0.0,0.0,0.0,0.0,1.0,0.0,2023-03-01,2028-02-29,1458688.0,1458688.0,HORIZON-ERC,1826,3,DE,coordinator,HES,Hamburg,1.0,False,20.47623990632385
5,101039103,0.0,1.0,0.0,0.0,4.0,0.0,2023-01-01,2027-12-31,1999348.75,1999348.75,HORIZON-ERC,1825,1,FR,coordinator,REC,Paris,1.0,False,20.931098715249217
6,101039110,0.0,2.0,0.0,0.0,2.0,1.0,2022-06-01,2027-05-31,1496023.0,1496023.0,HORIZON-ERC,1825,6,FI,coordinator,HES,Oulu,1.0,False,20.512700924851107
7,101039115,0.0,0.0,0.0,0.0,1.0,0.0,2023-01-01,2027-12-31,1499860.0,1499860.0,HORIZON-ERC,1825,1,DE,coordinator,HES,Tuebingen,1.0,False,20.51639641222405
8,101039127,0.0,1.0,0.0,0.0,1.0,0.0,2022-10-01,2027-09-30,1500000.0,1500000.0,HORIZON-ERC,1825,10,IL,coordinator,HES,Tel Aviv,1.0,False,20.516531070045332
9,101039145,0.0,0.0,0.0,1.0,2.0,0.0,2022-03-01,2027-02-28,1500000.0,1500000.0,HORIZON-AG,1825,3,IL,coordinator,HES,Rehovot,1.0,False,20.516531070045332
10,101039152,0.0,0.0,0.0,0.0,3.0,1.0,2023-01-01,2027-12-31,1499938.0,1499938.0,ERC,1825,1,NL,coordinator,HES,Nijmegen,1.0,False,20.51647143741789
11,101039174,0.0,1.0,0.0,1.0,0.0,0.0,2023-01-01,2027-12-31,1500000.0,1500000.0,HORIZON-ERC,1825,1,NO,coordinator,HES,Oslo,1.0,False,20.516531070045332
12,101039181,,,,,,,2022-11-01,2027-10-31,1498846.0,1498846.0,HORIZON-ERC,1825,11,ES,coordinator,REC,Madrid,1.0,False,20.515420729494757
